username,start,end,is_vacation
pojntfx,2024-01-17,2024-01-19,true
pojntfx,2024-03-07,2024-03-17,true
pojntfx,2024-04-01,2024-04-01,true
pojntfx,2024-04-15,2024-04-15,true
pojntfx,2024-05-20,2024-05-20,true
pojntfx,2024-07-01,2024-07-01,true
pojntfx,2024-07-31,2024-08-06,true
pojntfx,2024-09-02,2024-09-03,true
pojntfx,2024-10-10,2024-10-14,true
pojntfx,2024-11-04,2024-11-06,true
pojntfx,2024-11-11,2024-11-15,true
pojntfx,2024-11-18,2024-11-21,true
pojntfx,2024-12-23,2025-01-03,true
pojntfx,2025-01-18,2025-01-25,true
pojntfx,2025-02-17,2025-02-17,true
pojntfx,2025-03-17,2025-03-21,true
pojntfx,2025-03-25,2025-03-28,true
pojntfx,2025-04-02,2025-04-04,true
pojntfx,2025-04-18,2025-04-18,true
pojntfx,2025-04-29,2025-04-30,true
pojntfx,2025-05-01,2025-05-02,true
pojntfx,2025-05-30,2025-05-30,true
pojntfx,2025-06-12,2025-06-19,true
pojntfx,2025-06-25,2025-06-25,true
pojntfx,2025-07-01,2025-07-01,true
pojntfx,2025-09-01,2025-09-01,true
pojntfx,2025-09-04,2025-09-04,true
pojntfx,2025-09-05,2025-09-05,true
